Hour,Buyer/Seller,Gmin [Wh],Gmax [Wh],Dmin [Wh],Dmax [Wh],w,z
82,2,0,11,0,4267,4,1
83,2,0,0,0,4084,3,1
84,2,0,0,0,3940,2,1
85,2,0,0,0,810,3,1
86,2,0,0,0,812,1,1
87,2,0,0,0,880,4,1
88,2,0,0,0,731,3,1
89,2,0,0,0,545,3,1
90,2,0,0,0,713,1,1
91,2,0,0,0,466,3,1
92,2,0,0,0,599,1,1
93,2,0,0,0,672,1,1
94,2,0,0,0,836,1,1
95,2,0,1,0,822,4,1
96,2,0,184,0,692,4,1
97,2,0,242,0,741,1,1
98,2,0,906,0,911,4,1
99,2,0,1330,0,1135,2,1
100,2,0,1597,0,1305,4,1
101,2,0,1719,0,955,1,1
102,2,0,1593,0,918,4,1
103,2,0,1737,0,1047,1,1
104,2,0,2102,0,763,2,1
105,2,0,518,0,676,1,1
106,2,0,55,0,739,2,1
107,2,0,0,0,4275,4,1
108,2,0,0,0,4490,1,1
109,2,0,0,0,4363,2,1
110,2,0,0,0,2178,2,1
111,2,0,0,0,739,2,1
112,2,0,0,0,775,1,1
113,2,0,0,0,796,1,1
114,2,0,0,0,829,1,1
115,2,0,0,0,1060,4,1
116,2,0,0,0,1181,4,1
117,2,0,0,0,1526,2,1
118,2,0,0,0,1097,2,1
119,2,0,84,0,1493,4,1
120,2,0,894,0,1164,1,1
121,2,0,5602,0,853,3,1
122,2,0,8178,0,636,4,1
123,2,0,9668,0,480,4,1
124,2,0,10192,0,477,3,1
125,2,0,10131,0,517,1,1
126,2,0,9316,0,560,2,1
127,2,0,7751,0,374,1,1
128,2,0,5524,0,374,1,1
129,2,0,2485,0,701,4,1
130,2,0,154,0,907,2,1
131,2,0,0,0,368,3,1
132,2,0,0,0,460,1,1
133,2,0,0,0,553,4,1
134,2,0,0,0,545,2,1
135,2,0,0,0,645,1,1
136,2,0,0,0,734,1,1
137,2,0,0,0,683,4,1
138,2,0,0,0,676,4,1
139,2,0,0,0,666,2,1
140,2,0,0,0,888,4,1
141,2,0,0,0,978,1,1
142,2,0,0,0,643,2,1
143,2,0,33,0,761,2,1
144,2,0,422,0,594,4,1
145,2,0,352,0,672,2,1
146,2,0,704,0,1215,1,1
147,2,0,932,0,1172,3,1
148,2,0,876,0,1613,1,1
149,2,0,1032,0,722,2,1
150,2,0,1007,0,868,3,1
151,2,0,664,0,1073,1,1
152,2,0,598,0,1173,2,1
153,2,0,197,0,987,3,1
154,2,0,0,0,514,1,1
155,2,0,0,0,331,2,1
156,2,0,0,0,371,4,1
157,2,0,0,0,334,2,1
158,2,0,0,0,566,1,1
159,2,0,0,0,569,3,1
160,2,0,0,0,543,2,1
161,2,0,0,0,371,1,1
162,2,0,0,0,314,3,1
163,2,0,0,0,398,2,1
164,2,0,0,0,110,4,1
165,2,0,0,0,109,2,1
166,2,0,0,0,334,4,1
167,2,0,22,0,421,1,1
168,2,0,212,0,408,1,1
169,2,0,484,0,177,2,1
1,3,0,0,0,1691,1,3
2,3,0,0,0,1747,1,3
3,3,0,0,0,2569,3,3
4,3,0,0,0,3514,1,3
5,3,0,0,0,2907,2,3
6,3,0,0,0,2505,4,3
7,3,0,0,0,2639,4,3
8,3,0,0,0,2328,3,3
9,3,0,0,0,2762,2,3
10,3,0,0,0,1597,3,3
11,3,0,0,0,1710,1,3
12,3,0,0,0,1617,2,3
13,3,0,0,0,1686,1,3
14,3,0,0,0,1083,1,3
15,3,0,0,0,1015,3,3
16,3,0,0,0,980,2,3
17,3,0,0,0,938,4,3
18,3,0,0,0,686,1,3
19,3,0,0,0,977,4,3
20,3,0,0,0,656,2,3
21,3,0,0,0,788,1,3
22,3,0,0,0,649,4,3
23,3,0,0,0,613,4,3
24,3,0,0,0,1130,2,3
25,3,0,0,0,1649,4,3
